Date,Open,High,Low,Close,Adj Close,Volume,Dias
2000-01-03,27.3125,27.3125,26.375,26.5625,14.830883026123047,380300,Lunes
2000-01-04,26.3125,26.3125,25.875,26.0625,14.551711082458496,722200,Martes
2000-01-05,26.125,26.75,26.0,26.75,14.935572624206543,337800,Miercoles
2000-01-06,26.75,27.84375,26.75,27.78125,15.511359214782715,133100,Jueves
2000-01-07,27.6875,28.40625,27.6875,28.078125,15.677118301391602,468000,Viernes
2000-01-10,28.078125,28.078125,27.625,27.84375,15.546250343322754,122100,Lunes
2000-01-11,27.84375,28.0625,27.5625,27.875,15.563697814941406,144800,Martes
2000-01-12,27.84375,27.84375,27.5625,27.75,15.493915557861328,57300,Miercoles
2000-01-13,27.9375,28.3125,27.71875,28.234375,15.764352798461914,149200,Jueves
2000-01-14,28.09375,28.09375,27.6875,28.0625,15.668387413024902,35700,Viernes
2000-01-18,27.875,28.5625,27.875,28.40625,15.860321044921875,110500,Martes
2000-01-19,28.3125,28.625,28.28125,28.3125,15.807978630065918,190300,Miercoles
2000-01-20,28.40625,28.40625,27.9375,28.3125,15.807978630065918,344300,Jueves
2000-01-21,28.9375,29.234375,28.78125,29.09375,16.244178771972656,483300,Viernes
2000-01-24,29.28125,29.375,28.03125,28.0625,15.668387413024902,296500,Lunes
2000-01-25,28.125,29.46875,27.8125,28.0,15.633502006530762,57800,Martes
2000-01-26,27.8125,28.28125,27.5625,27.5625,15.389225006103516,46900,Miercoles
2000-01-27,27.65625,27.875,26.640625,27.0,15.07516098022461,1688800,Jueves
2000-01-28,26.9375,26.96875,26.5,26.6875,14.900677680969238,33100,Viernes
2000-01-31,26.1875,27.3125,26.125,27.3125,15.249638557434082,101600,Lunes
2000-02-01,27.3125,27.3125,27.0,27.25,15.21474552154541,114200,Martes
2000-02-02,27.3125,27.609375,27.25,27.421875,15.310712814331055,29400,Miercoles
2000-02-03,27.375,27.375,26.71875,27.09375,15.127504348754883,96800,Jueves
2000-02-04,26.84375,27.0,26.15625,26.3125,14.691295623779297,65600,Viernes
2000-02-07,26.3125,26.71875,26.3125,26.609375,14.857048988342285,55300,Lunes
2000-02-08,26.75,27.0625,26.375,26.375,14.72619342803955,99400,Martes
2000-02-09,26.125,26.125,25.5,25.5,14.237642288208008,86200,Miercoles
2000-02-10,25.75,26.4375,25.71875,26.03125,14.53426742553711,615000,Jueves
2000-02-11,26.28125,26.4375,25.3125,25.71875,14.359787940979004,207800,Viernes
2000-02-14,25.875,26.25,25.59375,26.125,14.586612701416016,523000,Lunes
2000-02-15,26.625,27.21875,26.4375,27.21875,15.197293281555176,300700,Martes
2000-02-16,27.15625,27.5,27.15625,27.34375,15.26708698272705,123900,Miercoles
2000-02-17,27.40625,27.484375,26.9375,27.3125,15.249638557434082,88000,Jueves
2000-02-18,27.1875,27.1875,26.4375,26.515625,14.804717063903809,141700,Viernes
2000-02-22,26.625,26.625,26.0,26.28125,14.67385196685791,74600,Martes
2000-02-23,26.0625,26.0625,25.40625,25.59375,14.289998054504395,76200,Miercoles
2000-02-24,25.25,25.4375,24.9375,25.3125,14.132956504821777,316000,Jueves
2000-02-25,25.15625,25.53125,24.6875,24.8125,13.853788375854492,662800,Viernes
2000-02-28,25.0625,25.84375,24.625,25.5625,14.272537231445312,456100,Lunes
2000-02-29,25.625,26.34375,25.625,26.15625,14.604057312011719,80300,Martes
2000-03-01,26.015625,26.90625,25.9375,26.8125,14.970458984375,880600,Miercoles
2000-03-02,26.890625,27.40625,26.875,27.3125,15.249638557434082,392700,Jueves
2000-03-03,27.25,27.25,26.59375,26.875,15.00536823272705,611700,Viernes
2000-03-06,26.6875,27.0,26.53125,26.71875,14.918118476867676,279800,Lunes
2000-03-07,26.65625,28.5625,26.65625,28.5625,15.947565078735352,499500,Martes
2000-03-08,27.75,28.84375,27.75,28.09375,15.685844421386719,1089400,Miercoles
2000-03-09,27.6875,28.15625,27.375,28.125,15.703289031982422,358400,Jueves
2000-03-10,28.0,28.6875,27.71875,27.75,15.493915557861328,663100,Viernes
2000-03-13,27.75,28.21875,27.21875,27.34375,15.26708698272705,350600,Lunes
2000-03-14,27.1875,27.71875,27.0,27.6875,15.459012985229492,360400,Martes
2000-03-15,27.390625,27.75,27.15625,27.5625,15.389225006103516,419500,Miercoles
2000-03-16,27.375,28.78125,26.75,28.75,16.052257537841797,566300,Jueves
2000-03-17,28.625,28.625,27.765625,27.78125,15.563326835632324,149800,Viernes
2000-03-20,27.90625,27.90625,27.21875,27.34375,15.318235397338867,237500,Lunes
2000-03-21,26.0,28.21875,26.0,28.21875,15.808417320251465,176500,Martes
2000-03-22,28.15625,28.34375,27.875,28.0,15.685879707336426,41900,Miercoles
2000-03-23,27.8125,28.3125,27.65625,27.96875,15.668365478515625,41500,Jueves
2000-03-24,28.1875,28.375,27.9375,28.03125,15.703373908996582,161400,Viernes
2000-03-27,27.9375,28.4375,27.59375,28.125,15.755899429321289,219100,Lunes
2000-03-28,28.1875,28.34375,27.8125,28.0,15.685879707336426,69300,Martes
2000-03-29,27.875,29.5625,27.875,29.46875,16.50868797302246,232800,Miercoles
2000-03-30,29.71875,30.21875,29.21875,29.46875,16.50868797302246,177900,Jueves
2000-03-31,29.375,29.984375,29.3125,29.3125,16.421146392822266,627900,Viernes
2000-04-03,29.5,29.8125,29.390625,29.8125,16.70125389099121,140700,Lunes
2000-04-04,30.0,30.15625,28.9375,29.4375,16.491178512573242,414600,Martes
2000-04-05,29.484375,29.5625,28.5625,28.5625,16.000993728637695,51300,Miercoles
2000-04-06,28.6875,29.375,28.6875,29.3125,16.421146392822266,38000,Jueves
2000-04-07,29.3125,29.375,28.8125,28.859375,16.167299270629883,255400,Viernes
2000-04-10,28.6875,28.796875,28.328125,28.4375,15.930959701538086,27000,Lunes
2000-04-11,28.4375,29.15625,28.4375,28.9375,16.211071014404297,487900,Martes
2000-04-12,29.0625,29.5625,28.953125,29.1875,16.351125717163086,242200,Miercoles
2000-04-13,29.25,29.375,29.015625,29.125,16.316112518310547,440800,Jueves
2000-04-14,29.125,29.375,28.21875,28.5,15.965984344482422,1849100,Viernes
2000-04-17,28.25,28.40625,27.515625,27.8125,15.580826759338379,216100,Lunes
2000-04-18,27.625,28.046875,27.625,27.953125,15.659612655639648,79600,Martes
2000-04-19,28.0,28.609375,28.0,28.5625,16.000993728637695,377800,Miercoles
2000-04-20,28.5625,28.765625,28.3125,28.609375,16.027254104614258,235600,Jueves
2000-04-24,28.8125,29.0,28.453125,28.921875,16.202322006225586,22000,Lunes
2000-04-25,28.921875,29.296875,28.921875,28.96875,16.22857666015625,430800,Martes
2000-04-26,29.0625,29.40625,28.90625,29.34375,16.43865394592285,429500,Miercoles
2000-04-27,29.125,29.78125,29.015625,29.75,16.66623878479004,27500,Jueves
2000-04-28,29.6875,29.6875,28.875,28.875,16.176050186157227,53000,Viernes
2000-05-01,29.1875,29.5625,29.03125,29.34375,16.43865394592285,34700,Lunes
2000-05-02,29.34375,30.0,29.34375,29.765625,16.674983978271484,148000,Martes
2000-05-03,29.75,29.75,29.0,29.0,16.24608612060547,79100,Miercoles
2000-05-04,29.1875,29.796875,29.1875,29.75,16.66623878479004,44000,Jueves
2000-05-05,29.75,30.109375,29.625,30.0625,16.8413028717041,35600,Viernes
2000-05-08,29.875,30.59375,29.875,30.4375,17.051376342773438,83000,Lunes
2000-05-09,30.75,30.78125,30.1875,30.453125,17.060136795043945,122400,Martes
2000-05-10,30.4375,30.71875,30.21875,30.546875,17.112651824951172,353700,Miercoles
2000-05-11,30.6875,31.546875,30.6875,31.5,17.6466064453125,130800,Jueves
2000-05-12,31.375,31.625,31.328125,31.609375,17.707883834838867,45100,Viernes
2000-05-15,31.6875,32.3125,31.5,32.265625,18.07552146911621,1278300,Lunes
2000-05-16,32.0,32.125,31.375,31.640625,17.725387573242188,930400,Martes
2000-05-17,31.8125,31.8125,31.359375,31.796875,17.81292152404785,45600,Miercoles
2000-05-18,31.75,31.984375,31.375,31.75,17.78665542602539,889700,Jueves
2000-05-19,31.53125,31.984375,31.390625,31.8125,17.821670532226562,71400,Viernes
2000-05-22,31.5625,31.921875,31.546875,31.546875,17.672868728637695,108400,Lunes
